planetName,discoveryMethod,planetsInSystem,orbitalPeriod,orbitalSemiMajorAxis,orbitalEccentricity,planetDensity,orbitalInclination,rightAscension,Declination,distanceParsecs,vBand,stellarTemperature,solarMass,solarRadii,periastronDays,planetEarthMasses,planetEarthMassSinI,planetEarthRadii,planetSolarRadii,stellarRadialVelocity,spectralType,stellarLuminosity,stellarDensity
HD 224693 b,Radial Velocity,1,26.73,0.233,0.05,,,359.974304,-22.428114,94.07,8.216,,,,2453193.9,,225.64979,,,1.5,4.2,,
HD 231701 b,Radial Velocity,1,141.6,0.53,0.1,,,293.017334,16.474291,108.46,8.97,,,,2463180,,317.817,,,,4,,
HD 233604 b,Radial Velocity,1,192,0.747,0.05,,,137.453384,53.56823,,10.406,4791,1.5,10.9,2453022,,2089.644,,,,5.5,1.75,
HD 240210 b,Radial Velocity,1,501.75,1.33,0.15,,,347.621792,57.029456,,8.33,,,,2454486.76,,2192.935,,,,,,
HD 240237 b,Radial Velocity,1,745.7,1.9,0.4,,,348.925934,58.04324,307.69,,,,,,,1680,,,,5.2,,
HD 290327 b,Radial Velocity,1,2443,,,,,80.839851,-2.277619,54.92,8.944,,,,,,807.25419,,,,4,,
HD 285968 b,Radial Velocity,1,8.7836,0.066,0,,,70.732407,18.958172,9.42,9.98,,,,,,8.42214,,,26.2,6.2,,
HD 285507 b,Radial Velocity,1,6.0881,,0.086,,,61.755104,15.335032,42.43,10.267,4503,0.73,0.66,2456263.121,,291.438,,,38.15,5.45,,
HD 330075 b,Radial Velocity,1,3.369,0.043,0,,,237.407043,-49.963524,50.2,9.334,,,,,,241.54062,,,,4.5,,
HIP 5158 b,Radial Velocity,2,345.72,0.89,0.52,,,16.508533,-22.453154,44.8,10.167,,,,2454580.49,,451,,,,,,
HIP 5158 c,Radial Velocity,2,9017.8,7.7,0.14,,,16.508533,-22.453154,44.8,10.167,,,,,4779.96,,,,,,,
HIP 12961 b,Radial Velocity,1,57,,,,,41.678692,-23.086611,23.8,10.294,,,,,,149.37381,,,,,,
HIP 14810 b,Radial Velocity,3,6.673855,0.0692,0.1427,,,47.809292,21.097359,52.88,8.5,,,,2453694.598,,1233.12845,,,,,,
HIP 14810 c,Radial Velocity,3,147.73,0.545,0.164,,,47.809292,21.097359,52.88,8.5,,,,2454672.24,,406.80526,,,,,,
HIP 14810 d,Radial Velocity,3,952,1.89,0.173,,,47.809292,21.097359,52.88,8.5,,,,2454317.198,,181.155,,,,,,
HIP 57050 b,Radial Velocity,1,41.397,0.163506,0.314,,,175.435974,42.751972,11.03,11.92,,,,,,94.7094,,,-9.1,6.4,,
HIP 57274 b,Radial Velocity,3,8.1352,0.07,0.187,,,176.170685,30.959293,25.87,8.984,,,,,,11.4,,,,5.4,,
HIP 57274 c,Radial Velocity,3,32.03,0.178,0.05,,,176.170685,30.959293,25.87,8.984,,,,,,130,,,,5.4,,
HIP 57274 d,Radial Velocity,3,431.7,1.01,0.27,,,176.170685,30.959293,25.87,8.984,,,,,,167.5,,,,5.4,,
HIP 63510 c,Imaging,1,,1168,,,,195.194092,12.375724,11.43,9.72,,,,,1997.59,,13.675,0.125,-11.2,6.05,,
HIP 63242 b,Radial Velocity,1,124.6,0.565,0.23,,,194.383163,-65.646461,149.25,6.871,4830,1.54,,2455376.2,,2917.56,,,,4.8,1.63,
HIP 70849 b,Radial Velocity,1,17337.5,20.25,0.715,,,217.327347,-46.463818,23.98,10.38,,,,,,2860,,,,5.7,,
HIP 75458 b,Radial Velocity,1,511.098,1.275,0.7124,,,231.232391,58.966064,31.33,3.29,,,,2412014.59,,2803.14251,,,,5.2,,
HIP 78530 b,Imaging,1,,,,,,240.481064,-21.980389,131.93,7.192,,,,,7322.49,,,,,1.9,,
HIP 79431 b,Radial Velocity,1,111.7,0.36,0.29,,,243.174057,-18.875504,14.9,11.34,,,,2454980.3,,667.415,,,,6.3,,
HIP 91258 b,Radial Velocity,1,5.0505,0.057,0.024,,,279.221466,61.702503,44.46,8.646,5519,0.95,1,,,339.428,,,-9.45,4.5,-0.222,
HIP 105854 b,Radial Velocity,1,184.2,0.81,0.02,,,321.595306,-37.82943,84.6,5.64,4780,2.1,,2455262.4,,2606.1,,,,5.2,1.67,
HR 810 b,Radial Velocity,1,311.288,0.91,0.24,,,40.639442,-50.800293,17.24,5.41,,,,,,616.56423,,,16.7,4,,
HR 8799 b,Imaging,4,170000,68,,,,346.869659,21.134251,39.94,5.953,,,,,2000,,13,0.12,,3.02,,
HR 8799 c,Imaging,4,69000,38,,,,346.869659,21.134251,39.94,5.953,,,,,3000,,13,0.12,,3.02,,
HR 8799 d,Imaging,4,37000,24,,,,346.869659,21.134251,39.94,5.953,,,,,3000,,13,0.12,,3.02,,
HR 8799 e,Imaging,4,18000,14.5,,,,346.869659,21.134251,39.94,5.953,,,,,,,,,,3.02,,
KELT-1 b,Transit,1,1.217514,0.02466,0.0099,24.7,87.8,0.362142,39.383808,262,10.701,6518,1.32,1.46,2455914.07,8654.15,,12.442,0.114,-14.2,,0.542,
KELT-2 A b,Transit,1,4.1137912,0.05496,0,,88.6,92.663948,30.957144,124.22,8.713,6151,1.31,1.83,2455974.603,483.717,,14.415,0.132,-47.3,3.8,,
KELT-3 b,Transit,1,2.7033904,0.04122,0,0.75,84.23,148.643326,40.388069,178,9.873,6306,1.28,1.47,,469.415,467.19,15.076,0.138,27.9,,0.489,0.565
KELT-6 b,Transit,1,7.8457,0.07939,0.22,0.311,88.81,195.981873,30.640051,222,10.418,6102,1.08,1.58,2456269.2,136.661,,13.372,0.123,1.1,3.8,0.493,0.387
TrES-2 b,Transit,1,2.47063,0.03556,0,0.77,83.62,286.808477,49.316407,213,11.411,5850,0.98,1,,381.1,,14.258,0.131,,4,0.025,
HAT-P-7 b,Transit,1,2.204737,0.0377,0,,83.111,292.247314,47.969513,320,,6350,1.47,1.84,,564.442,,15.043,0.138,-11,,0.69,
HAT-P-11 b,Transit,1,4.8878162,0.053,0.198,1.33,88.5,297.709351,48.080856,38,9.472,4780,0.81,0.75,,25.743,,4.73,0.043,,5.4,-0.585,
Kepler-4 b,Transit,1,3.21346,0.0456,0,1.91,89.76,285.615326,50.135754,550,12.7,5857,1.22,1.49,,24.472,,4.002,0.037,-61,,0.354,
Kepler-5 b,Transit,1,3.54846,0.05064,0.024,0.894,86.3,299.407013,44.035046,,,6297,1.37,1.79,,671.864,,16.04,0.147,-46.7,,0.669,
Kepler-6 b,Transit,1,3.234723,0.04567,0,0.352,86.8,296.83725,48.239964,,,5647,1.21,1.39,,212.619,,14.83,0.136,-49.14,,0.299,
Kepler-7 b,Transit,1,4.885525,0.06224,0,0.166,86.5,288.581512,41.089798,,,5933,1.35,1.84,,137.615,,16.567,0.152,0.4,,0.618,
Kepler-8 b,Transit,1,3.52254,0.0483,0,0.261,84.07,281.288116,42.45108,1330,13.9,6213,1.21,1.49,,191.643,,15.906,0.146,-52.72,,0.605,
Kepler-9 b,Transit,3,19.24,0.14,0.15,0.524,,285.573975,38.400894,650,,5777,1.07,1.02,,80.09,,9.438,0.087,,,,
Kepler-9 c,Transit,3,38.91,0.225,0.13,0.383,,285.573975,38.400894,650,,5777,1.07,1.02,,54.347,,9.225,0.085,,,,
Kepler-9 d,Transit,3,1.592851,0.0273,,,,285.573975,38.400894,650,,5777,1.07,1.02,,,,1.64,0.015,,,,
Kepler-10 b,Transit,2,0.8374907,0.01685,0,5.8,84.8,285.679382,50.241299,173,10.94,5708,0.91,1.06,,3.33,,1.47,0.013,-98.74,,,1.068
Kepler-10 c,Transit,2,45.294301,,0,7.1,89.59,285.679382,50.241299,173,10.94,5708,0.91,1.06,,17.2,,2.35,0.022,-98.74,,,1.068
Kepler-11 b,Transit,6,10.3039,0.091,0.045,1.72,89.64,297.115112,41.909138,613,14.2,5680,0.95,1.1,,1.9,,1.8,0.017,-57.16,,,
Kepler-11 c,Transit,6,13.0241,0.107,0.026,0.66,89.59,297.115112,41.909138,613,14.2,5680,0.95,1.1,,2.9,,2.87,0.026,-57.16,,,
Kepler-11 d,Transit,6,22.6845,0.155,0.004,1.28,89.67,297.115112,41.909138,613,14.2,5680,0.95,1.1,,7.3,,3.12,0.029,-57.16,,,
Kepler-11 e,Transit,6,31.9996,0.195,0.012,0.58,88.89,297.115112,41.909138,613,14.2,5680,0.95,1.1,,8,,4.19,0.038,-57.16,,,
Kepler-11 f,Transit,6,46.6888,0.25,0.013,0.69,89.47,297.115112,41.909138,613,14.2,5680,0.95,1.1,,2,,2.49,0.023,-57.16,,,
Kepler-11 g,Transit,6,118.3807,0.466,0.15,4,89.87,297.115112,41.909138,613,14.2,5680,0.95,1.1,,25,,3.33,0.03,-57.16,,,
Kepler-12 b,Transit,1,4.4379637,0.0556,0.01,0.111,88.76,286.243439,50.040382,600,13.8,5947,1.17,1.48,,136.979,,18.999,0.174,,,,0.499
KOI-13 b,Transit,1,1.7635892,,,,,286.971191,46.868362,,,8511,2.05,1.76,,,,20.5,0.188,,,,
Kepler-14 b,Transit,1,6.790123,,0.035,7.1,90,287.708801,47.33305,980,,6395,1.51,2.05,,2669.66,,12.733,0.117,6.53,,0.799,
Kepler-15 b,Transit,1,4.942782,0.05714,0.06,0.93,87.44,296.200592,49.140125,,,5515,1.02,0.99,,209.76,,10.76,0.099,-20,,-0.087,1.47
Kepler-16 b,Transit,1,228.776,0.7048,0.0069,0.964,90.032,289.075714,51.757439,61,,4450,0.69,0.65,,105.833,,8.449,0.077,,,,3.563
Kepler-17 b,Transit,1,1.4857108,0.02591,0.011,1.35,87.2,298.395264,47.815006,800,,5781,1.16,1.05,,778.65,,14.68,0.135,-24.81,4.2,,1.415
Kepler-18 b,Transit,3,3.504725,0.0447,0,4.9,,298.079437,44.746323,,,5345,0.97,1.11,,6.9,,2,0.018,,,-0.031,1.01
Kepler-18 c,Transit,3,7.64159,0.0752,0,0.59,87.68,298.079437,44.746323,,,5345,0.97,1.11,,17.3,,5.49,0.05,,,-0.031,1.01
Kepler-18 d,Transit,3,14.85888,0.1172,0,0.27,88.07,298.079437,44.746323,,,5345,0.97,1.11,,16.4,,6.98,0.064,,,-0.031,1.01
Kepler-19 b,Transit,2,9.2869944,,0,10.4,89.94,290.420837,37.851788,2119,,5541,0.94,0.85,,20.3,,2.209,0.02,,,,
Kepler-19 c,Transit Timing Variations,2,160,,,,,290.420837,37.851788,2119,,5541,0.94,0.85,,1906.9,,,,,,,
Kepler-20 b,Transit,5,3.6961219,0.04537,0.32,6.5,86.5,287.697998,42.338726,290,,5466,0.91,0.94,,8.7,,1.91,0.018,-21.87,,-0.069,1.51
Kepler-20 c,Transit,5,10.854092,0.093,0.4,2.91,88.39,287.697998,42.338726,290,,5466,0.91,0.94,,16.1,,3.07,0.028,-21.87,,-0.069,1.51
Kepler-20 d,Transit,5,77.61184,0.3453,0.6,4.07,89.57,287.697998,42.338726,290,,5466,0.91,0.94,,20.1,,2.75,0.025,-21.87,,-0.069,1.51
Kepler-20 e,Transit,5,6.098493,,0.28,,87.5,287.697998,42.338726,290,,5466,0.91,0.94,,3.08,,0.868,0.008,-21.87,,-0.069,1.51
Kepler-20 f,Transit,5,19.57706,,0.32,,88.68,287.697998,42.338726,290,,5466,0.91,0.94,,14.3,,1.03,0.009,-21.87,,-0.069,1.51
Kepler-21 b,Transit,1,2.785755,0.042507,0,12.9,82.58,287.361816,38.714016,108,8.25,6131,1.34,1.86,,10.4,,1.635,0.015,-19.1,3.6,,0.2886
Kepler-22 b,Transit,1,289.8623,0.849,0,14.7,89.764,289.217499,47.884464,190,,5518,0.97,0.98,,36,,2.38,0.022,,4.5,-0.102,1.458
Kepler-23 b,Transit,3,7.1073,0.075,,,,294.218933,49.479225,800,,5828,1.11,1.55,,254.3,,1.9,0.017,,,0.362,
Kepler-23 c,Transit,3,10.7421,0.099,,,,294.218933,49.479225,800,,5828,1.11,1.55,,858.1,,3.2,0.029,,,0.362,
Kepler-23 d,Transit,3,15.274299,0.124,,,,294.218933,49.479225,800,,5828,1.11,1.55,,,,2.2,0.02,,,0.362,
Kepler-24 b,Transit,4,8.1453,0.08,,,,290.413269,38.343754,1200,,5897,1.03,1.29,,508.5,,2.4,0.022,,,0.064,
Kepler-24 c,Transit,4,12.3335,0.106,,,,290.413269,38.343754,1200,,5897,1.03,1.29,,508.5,,2.8,0.026,,,0.064,
Kepler-24 d,Transit,4,4.244384,0.051,,,,290.413269,38.343754,1200,,5897,1.03,1.29,,,,1.67,0.015,,,0.064,
Kepler-24 e,Transit,4,18.998355,0.138,,,,290.413269,38.343754,1200,,5897,1.03,1.29,,,,2.78,0.025,,,0.064,
Kepler-25 b,Transit,3,6.2385,0.068,,,,286.638397,39.487892,,,6270,1.19,1.31,,4036.3,,2.6,0.024,,,,0.75
Kepler-25 c,Transit,3,12.7204,0.11,,,,286.638397,39.487892,,,6270,1.19,1.31,,1322.12,,4.5,0.041,,,,0.75
Kepler-25 d,Radial Velocity,3,123,,,,,286.638397,39.487892,,,6270,1.19,1.31,,89.9,,,,,,,0.75
Kepler-26 b,Transit,4,12.2829,0.085,,,,284.94101,46.56654,,,4486,0.65,0.57,,120.77,,3.6,0.033,,,,
Kepler-26 c,Transit,4,17.2513,0.107,,,,284.94101,46.56654,,,4486,0.65,0.57,,119.181,,3.6,0.033,,,,
Kepler-26 d,Transit,4,3.543919,0.039,,,,284.94101,46.56654,,,4486,0.65,0.57,,,,1.07,0.01,,,,
Kepler-26 e,Transit,4,46.827915,0.22,,,,284.94101,46.56654,,,4486,0.65,0.57,,,,2.41,0.022,,,,
Kepler-27 b,Transit,2,15.3348,0.118,,,,292.236755,41.085876,,,5400,0.65,0.59,,2895.31,,4,0.037,,,,
Kepler-27 c,Transit,2,31.3309,0.191,,,,292.236755,41.085876,,,5400,0.65,0.59,,4385.87,,4.9,0.045,,,,
Kepler-28 b,Transit,2,5.9123,0.062,,,,292.137024,42.42942,,,4590,0.75,0.7,,479.9,,3.6,0.033,,,,
Kepler-28 c,Transit,2,8.9858,0.081,,,,292.137024,42.42942,,,4590,0.75,0.7,,432.23,,3.4,0.031,,,,
Kepler-29 b,Transit,2,10.3376,0.09,,,,298.348328,47.491226,1400,,5750,1,0.96,,127.1,,3.6,0.033,,,,
Kepler-29 c,Transit,2,13.2907,0.11,,,,298.348328,47.491226,1400,,5750,1,0.96,,95.3,,2.9,0.027,,,,
Kepler-30 b,Transit,3,29.33434,0.18,0.042,1.02,90.179,285.28363,38.947281,1400,,5498,0.99,0.95,,11.3,,3.9,0.036,,,,2
Kepler-30 c,Transit,3,60.323105,0.3,0.0111,1.88,90.323,285.28363,38.947281,1400,,5498,0.99,0.95,,640,,12.3,0.113,,,,2
Kepler-30 d,Transit,3,143.34394,0.5,0.022,0.19,89.841,285.28363,38.947281,1400,,5498,0.99,0.95,,23.1,,8.8,0.081,,,,2
Kepler-31 b,Transit,3,20.8613,0.16,,,,294.02301,45.853081,2100,,6034,1.21,1.31,,,,5.5,0.05,,,,
Kepler-31 c,Transit,3,42.6318,0.26,,,,294.02301,45.853081,2100,,6034,1.21,1.31,,1493.7,,5.3,0.049,,,,
Kepler-31 d,Transit,3,87.648901,0.39,,,,294.02301,45.853081,2100,,6034,1.21,1.31,,,,4.56,0.042,,,,
Kepler-32 b,Transit,5,5.90124,0.05,,,,297.842407,46.57428,303,16.452,3793,0.54,0.53,,1303,,2.2,0.02,-32.5,6.1,,
Kepler-32 c,Transit,5,8.7522,0.09,,,,297.842407,46.57428,303,16.452,3793,0.54,0.53,,158.9,,2,0.018,-32.5,6.1,,
Kepler-32 d,Transit,5,22.7802,0.128,,,,297.842407,46.57428,303,16.452,3793,0.54,0.53,,,,2.7,0.025,-32.5,6.1,,
Kepler-32 e,Transit,5,2.896,0.0323,,,,297.842407,46.57428,303,16.452,3793,0.54,0.53,,,,1.5,0.014,-32.5,6.1,,
Kepler-32 f,Transit,5,0.74296,0.013,,,,297.842407,46.57428,303,16.452,3793,0.54,0.53,,,,0.81,0.007,-32.5,6.1,,
Kepler-33 b,Transit,5,5.66793,0.0677,0,,86.39,289.077545,46.005222,,,5904,1.29,1.82,,,,1.74,0.016,14.09,,0.556,0.3
Kepler-33 c,Transit,5,13.17562,0.1189,0,,88.19,289.077545,46.005222,,,5904,1.29,1.82,,,,3.2,0.029,14.09,,0.556,0.3
Kepler-33 d,Transit,5,21.77596,0.1662,0,,88.71,289.077545,46.005222,,,5904,1.29,1.82,,,,5.35,0.049,14.09,,0.556,0.3
Kepler-33 e,Transit,5,31.7844,0.2138,0,,88.94,289.077545,46.005222,,,5904,1.29,1.82,,,,4.02,0.037,14.09,,0.556,0.3
Kepler-33 f,Transit,5,41.02902,0.2535,0,,89.17,289.077545,46.005222,,,5904,1.29,1.82,,,,4.46,0.041,14.09,,0.556,0.3
Kepler-34 b,Transit,1,288.822,1.0896,0.182,0.613,90.355,296.435822,44.64156,1499,,5913,1.05,1.16,,69.92,,8.564,0.079,,,0.173,
Kepler-35 b,Transit,1,131.458,0.60347,0.042,0.41,90.76,294.496979,46.689762,1645,,5606,0.89,1.03,,40.363,,8.16,0.075,,,-0.027,
Kepler-36 b,Transit,2,13.83989,0.1153,0.039,7.46,90.01,291.250183,49.231827,470,,5911,1.07,1.63,,4.45,,1.486,0.014,,,0.462,0.3508
Kepler-36 c,Transit,2,16.23855,0.1283,0.033,0.89,89.98,291.250183,49.231827,470,,5911,1.07,1.63,,8.08,,3.679,0.034,,,0.462,0.3508
Kepler-37 b,Transit,4,13.367308,0.1003,,,88.63,284.059662,44.518131,66,,5417,0.8,0.77,,,,0.303,0.003,-30.1,,,2.46
Kepler-37 c,Transit,4,21.301886,0.1368,,,89.07,284.059662,44.518131,66,,5417,0.8,0.77,,,,0.742,0.007,-30.1,,,2.46
Kepler-37 d,Transit,4,39.792187,0.2076,,,89.335,284.059662,44.518131,66,,5417,0.8,0.77,,,,1.99,0.018,-30.1,,,2.46
Kepler-37 e,Transit Timing Variations,4,51.196,,,,,284.059662,44.518131,66,,5417,0.8,0.77,,,,,,-30.1,,,2.46
Kepler-38 b,Transit,1,105.599,0.4632,0.032,,89.442,286.830353,42.279205,600,,5623,0.94,1.75,,122,,4.3,0.039,,4.4,,0.175
Kepler-39 b,Transit,1,21.0874,0.155,0.121,12.4,88.83,296.960266,46.034298,1200,14.46,6260,1.1,1.39,,5720.7,,13.68,0.125,-0.1,3.7,,0.57
Kepler-40 b,Transit,1,6.87349,0.08,0,1.68,89.7,296.81369,47.526608,2700,,6510,1.48,2.13,,699.2,,13.11,0.12,6.57,3.5,,0.213
Kepler-41 b,Transit,1,1.855558,0.03,0,1.1,88.3,294.513214,45.981644,770,,5620,1.12,1.02,,174.8,,9.98,0.091,-27.07,4.6,,1.46
Kepler-42 b,Transit,3,1.2137672,0.0116,,,,292.219025,44.61916,38.7,16.124,3068,0.13,0.17,,,,0.78,0.007,-84.48,6,-2.62,
Kepler-42 c,Transit,3,0.45328509,0.006,,,,292.219025,44.61916,38.7,16.124,3068,0.13,0.17,,,,0.73,0.007,-84.48,6,-2.62,
Kepler-42 d,Transit,3,1.865169,0.0154,,,,292.219025,44.61916,38.7,16.124,3068,0.13,0.17,,,,0.57,0.005,-84.48,6,-2.62,
Kepler-43 b,Transit,1,3.024095,0.0449,0.025,2.33,84.35,285.240845,46.668255,1950,,6041,1.32,1.42,,1026.55,,13.45,0.123,-37.59,4,,0.65
Kepler-44 b,Transit,1,3.24674,0.0455,0.021,0.65,83.78,300.102356,45.762142,2250,,5757,1.19,1.52,,324.17,,13.9,0.128,-35.89,4.2,,0.48
Kepler-45 b,Transit,1,2.455239,0.03,0.11,0.8,87,292.872894,41.064262,333,16.88,3820,0.59,0.55,,160.497,,10.76,0.099,,6,,4
Kepler-46 b,Transit,3,33.60134,0.1968,0.01,14,89.038,289.268738,42.604176,855,,5309,0.9,0.79,,1907,,9.057,0.083,,,-0.255,1.53
Kepler-46 c,Transit Timing Variations,3,57.011,0.2799,0.0146,,87.4,289.268738,42.604176,855,,5309,0.9,0.79,,119.499,,,,,,-0.255,1.53
Kepler-46 d,Transit,3,6.766589,0.067,,,,289.268738,42.604176,855,,5309,0.9,0.79,,,,1.64,0.015,,,-0.255,1.53
Kepler-47 b,Transit,2,49.532,0.2962,0.035,,89.7,295.297913,46.920467,1500,,5636,1.05,0.96,,636,,3.03,0.028,,,-0.076,1.176
Kepler-47 c,Transit,2,303.137,0.991,0.411,,89.825,295.297913,46.920467,1500,,5636,1.05,0.96,,8899,,4.62,0.042,,,-0.076,1.176
Kepler-48 b,Transit,4,4.7779803,,,,,299.139221,40.94902,,,5194,0.88,0.89,,1887.83,,2.14,0.02,,,,1.98
Kepler-48 c,Transit,4,9.6739283,,,,,299.139221,40.94902,,,5194,0.88,0.89,,3689.85,,3.14,0.029,,,,1.98
Kepler-48 d,Transit,4,42.8961,,,5.08,,299.139221,40.94902,,,5194,0.88,0.89,,7.93,,2.04,0.019,,,,1.98
Kepler-48 e,Radial Velocity,4,982,,,,,299.139221,40.94902,,,5194,0.88,0.89,,657,,,,,,,1.98
Kepler-49 b,Transit,4,7.2037945,,,,,292.294586,40.591801,,,4252,0.55,0.56,,311.46,,2.72,0.025,,,,
Kepler-49 c,Transit,4,10.9129343,,,,,292.294586,40.591801,,,4252,0.55,0.56,,228.83,,2.55,0.023,,,,
Kepler-49 d,Transit,4,2.576549,0.031,,,,292.294586,40.591801,,,4252,0.55,0.56,,,,1.6,0.015,,,,
Kepler-49 e,Transit,4,18.596108,0.116,,,,292.294586,40.591801,,,4252,0.55,0.56,,,,1.56,0.014,,,,
Kepler-50 b,Transit,2,7.81254,0.077,,,,288.100861,50.033718,,,6058,1.23,1.88,,,,1.71,0.016,,,,
Kepler-50 c,Transit,2,9.37647,0.087,,,,288.100861,50.033718,,,6058,1.23,1.88,,,,2.17,0.02,,,,
Kepler-51 b,Transit,3,45.154,0.2514,0.04,0.03,,296.479767,49.937683,,,6018,1.04,0.94,,2.1,,7.1,0.065,,,,2.16
Kepler-51 c,Transit,3,85.312,0.384,0.014,0.03,,296.479767,49.937683,,,6018,1.04,0.94,,4,,9,0.083,,,,2.16
KOI-620.02,Transit,3,,0.509,0.008,0.046,,296.479767,49.937683,,,6018,1.04,0.94,,7.6,,9.7,0.089,,,,2.16
Kepler-52 b,Transit,3,7.8773565,,,,,286.738037,49.97575,,,4263,0.54,0.56,,2765,,2.1,0.019,,,,
Kepler-52 c,Transit,3,16.3850021,,,,,286.738037,49.97575,,,4263,0.54,0.56,,3308.41,,1.84,0.017,,,,
Kepler-52 d,Transit,3,36.445171,0.182,,,,286.738037,49.97575,,,4263,0.54,0.56,,,,1.95,0.018,,,,
Kepler-53 b,Transit,3,18.6489525,,,,,290.461761,40.562462,,,6085,0.98,0.96,,5851,,2.89,0.026,,,,
Kepler-53 c,Transit,3,38.5583038,,,,,290.461761,40.562462,,,6085,0.98,0.96,,,,3.17,0.029,,,,
Kepler-53 d,Transit,3,9.751962,0.091,,,,290.461761,40.562462,,,6085,0.98,0.96,,,,2.12,0.019,,,,
Kepler-54 b,Transit,3,8.0109434,,,,,294.773926,43.056293,,,4252,0.51,0.55,,292.39,,2.1,0.019,,,,
Kepler-54 c,Transit,3,12.0717249,,,,,294.773926,43.056293,,,4252,0.51,0.55,,117.59,,1.23,0.011,,,,
Kepler-54 d,Transit,3,20.995694,0.126,,,,294.773926,43.056293,,,4252,0.51,0.55,,,,1.53,0.014,,,,
Kepler-55 b,Transit,5,27.9481449,,,,,285.168335,44.026466,,,4503,0.62,0.62,,473.55,,2.43,0.022,,,,
Kepler-55 c,Transit,5,42.1516418,,,,,285.168335,44.026466,,,4503,0.62,0.62,,352.78,,2.21,0.02,,,,
Kepler-55 d,Transit,5,2.211099,0.029,,,,285.168335,44.026466,,,4503,0.62,0.62,,,,1.59,0.015,,,,
Kepler-55 e,Transit,5,4.617534,0.048,,,,285.168335,44.026466,,,4503,0.62,0.62,,,,1.55,0.014,,,,
Kepler-55 f,Transit,5,10.198545,0.081,,,,285.168335,44.026466,,,4503,0.62,0.62,,,,1.59,0.015,,,,
Kepler-56 b,Transit,2,10.5016,0.1028,,0.442,,293.758362,41.871868,,,4840,1.32,4.23,,22.1,,6.51,0.06,,,,0.0246
Kepler-56 c,Transit,2,21.40239,0.1652,,1.06,,293.758362,41.871868,,,4840,1.32,4.23,,181,,9.8,0.09,,,,0.0246
Kepler-57 b,Transit,2,5.7293196,,,,,293.641296,44.65704,,,5145,0.83,0.73,,5994.02,,2.19,0.02,,,,
Kepler-57 c,Transit,2,11.6092567,,,,,293.641296,44.65704,,,5145,0.83,0.73,,2208.83,,1.55,0.014,,,,
Kepler-58 b,Transit,3,10.2184954,,,,,296.358643,39.115192,,,6099,0.95,1.13,,441.77,,2.78,0.025,,,,
Kepler-58 c,Transit,3,15.5741568,,,,,296.358643,39.115192,,,6099,0.95,1.13,,696.02,,2.86,0.026,,,,
Kepler-58 d,Transit,3,40.101371,0.236,,,,296.358643,39.115192,,,6099,0.95,1.13,,,,2.94,0.027,,,,
Kepler-59 b,Transit,2,11.8681707,,,,,287.03949,46.640129,,,6074,1.04,0.94,,651.52,,1.1,0.01,,,,
Kepler-59 c,Transit,2,17.9801235,,,,,287.03949,46.640129,,,6074,1.04,0.94,,435.41,,1.98,0.018,,,,
Kepler-60 b,Transit,3,7.1316185,,,,,288.961243,42.265011,,,5915,1.11,1.5,,79.45,,2.28,0.021,,,,
Kepler-60 c,Transit,3,8.9193459,,,,,288.961243,42.265011,,,5915,1.11,1.5,,177.98,,2.47,0.023,,,,
Kepler-60 d,Transit,3,11.9016171,,,,,288.961243,42.265011,,,5915,1.11,1.5,,216.12,,2.55,0.023,,,,
Kepler-61 b,Transit,1,59.87756,,0.25,,89.8,295.304504,42.475288,,,4017,0.64,0.62,,,,2.15,0.02,,5.7,,
Kepler-62 b,Transit,5,5.714932,0.0553,,,89.2,283.212738,45.349865,368,,4925,0.69,0.64,,9,,1.31,0.012,,5.2,-0.678,3.8
Kepler-62 c,Transit,5,12.4417,0.0929,,,89.7,283.212738,45.349865,368,,4925,0.69,0.64,,4,,0.54,0.005,,5.2,-0.678,3.8
Kepler-62 d,Transit,5,18.16406,0.12,,,89.7,283.212738,45.349865,368,,4925,0.69,0.64,,14,,1.95,0.018,,5.2,-0.678,3.8
Kepler-62 e,Transit,5,122.3874,0.427,,,89.98,283.212738,45.349865,368,,4925,0.69,0.64,,36,,1.61,0.015,,5.2,-0.678,3.8
Kepler-62 f,Transit,5,267.291,0.718,,,89.9,283.212738,45.349865,368,,4925,0.69,0.64,,35,,1.41,0.013,,5.2,-0.678,3.8
Kepler-63 b,Transit,1,9.4341505,0.08,0.45,3,87.806,289.226166,49.548203,200,12.02,5576,0.98,0.9,,120,,6.11,0.056,,,-0.157,1.895
PH1 b,Transit,1,138.317,0.652,0.0702,,90.05,298.215118,39.955105,1000,,6407,1.53,1.73,,169,,6.18,0.057,21.18,3,,0.293
Kepler-65 b,Transit,3,2.15491,0.035,,,,288.68869,41.151173,,,6211,1.25,1.41,,,,1.42,0.013,,,,0.621
Kepler-65 c,Transit,3,5.859944,0.068,,,,288.68869,41.151173,,,6211,1.25,1.41,,,,2.58,0.024,,,,0.621
Kepler-65 d,Transit,3,8.13123,0.084,,,,288.68869,41.151173,,,6211,1.25,1.41,,,,1.52,0.014,,,,0.621
Kepler-66 b,Transit,1,17.815815,0.1352,,,,293.981567,46.687748,1107,15.3,5962,1.04,0.97,,,,2.8,0.026,,4,,1.62
Kepler-67 b,Transit,1,15.7259,0.1171,,,,294.153351,46.166439,1107,16.4,5331,0.86,0.78,,,,2.94,0.027,,4.9,,2.66
